Alfred E. Smith Playground,Playground area,Limited Free,Spectrum,https://www.nycgovparks.org/parks/alfred-e-smith-playground/facilities/wifi, Center of Alfred E Smith Playground,40.71066244010, -73.99745627740 
Alfred E. Smith Playground,Lobby CRC Multipurpose Room Gym,Limited Free,Spectrum,https://www.nycgovparks.org/parks/alfred-e-smith-playground/facilities/wifi, Center of Alfred E Smith Playground,40.71066244010, -73.99745627740 
The Battery,Bosque Area,Free,AT&T,https://www.nycgovparks.org/parks/battery-park/facilities/wifi, Center of The Battery,40.70294027340, -74.01572662730 
The Battery,Ferry Landing,Free,AT&T,https://www.nycgovparks.org/parks/battery-park/facilities/wifi, Center of The Battery,40.70294027340, -74.01572662730 
Bowling Green,Bowling Green,Limited Free,BID,https://www.nycgovparks.org/parks/bowling-green/facilities/wifi, Center of Bowling Green,40.70501245350, -74.01367669610 
The Queen Elizabeth Ii September 11th Garden,Southeast Section of Park,Partner site,BID,https://www.nycgovparks.org/parks/british-garden-at-hanover-square/facilities/wifi, Center of The Queen Elizabeth II September 11th Garden,40.70477969180, -74.00931613410 
Bryant Park,Near 6th Ave,Partner site,BID,https://www.nycgovparks.org/parks/bryant-park/facilities/wifi, Center of Bryant Park,40.75374975000, -73.98354865940 
Bryant Park,Near 6th Ave and Eastern Library steps,Limited Free,Spectrum,https://www.nycgovparks.org/parks/bryant-park/facilities/wifi, Center of Bryant Park,40.75374975000, -73.98354865940 
Central Park,Delacorte Theater,Limited Free,Spectrum,https://www.nycgovparks.org/parks/central-park/facilities/wifi, Center of Central Park,40.78248927580, -73.96556206150 
Central Park,South side near Sheep Meadow Mineral Spring,Free,AT&T,https://www.nycgovparks.org/parks/central-park/facilities/wifi, Center of Central Park,40.78248927580, -73.96556206150 
Central Park,North Meadow Recreation Center,Limited Free,Spectrum,https://www.nycgovparks.org/parks/central-park/facilities/wifi, Center of Central Park,40.78248927580, -73.96556206150 
Central Park,South side near Rumsey Playfield,Free,AT&T,https://www.nycgovparks.org/parks/central-park/facilities/wifi, Center of Central Park,40.78248927580, -73.96556206150 
Central Park,Tennis Center,Limited Free,Spectrum,https://www.nycgovparks.org/parks/central-park/facilities/wifi, Center of Central Park,40.78248927580, -73.96556206150 
Central Park,East side of Met Museum in Central Park,Limited Free,Spectrum,https://www.nycgovparks.org/parks/central-park/facilities/wifi, Center of Central Park,40.78248927580, -73.96556206150 
Central Park,South side near Central Park Zoo,Free,AT&T,https://www.nycgovparks.org/parks/central-park/facilities/wifi, Center of Central Park,40.78248927580, -73.96556206150 
Chelsea Park,Near W 27th St and 10th Ave,Limited Free,Spectrum,https://www.nycgovparks.org/parks/chelsea-park/facilities/wifi, Center of Chelsea Park,40.74991521610, -74.00064062810 
Chelsea Recreation Center,Lobby Gym Cardio Room Weight Room,Limited Free,Spectrum,https://www.nycgovparks.org/parks/chelsea-recreation-center/facilities/wifi, Center of Chelsea Recreation Center,40.74829588370, -74.00222056830 
City Hall Park,South side of Park,Limited Free,Spectrum,https://www.nycgovparks.org/parks/city-hall-park/facilities/wifi, Center of City Hall Park,40.71303557400, -74.00612195100 
Dante Park,North side of Park,Limited Free,Spectrum,https://www.nycgovparks.org/parks/dante-park/facilities/wifi, Center of Dante Park,40.77183725560, -73.98257809640 
Recreation Center 54,Lobby Gym Multipurpose Room,Limited Free,Spectrum,https://www.nycgovparks.org/parks/recreation-center-54/facilities/wifi, Center of Recreation Center 54,40.75648619390, -73.96513384130 
Recreation Center 54,East 54th Street Recreation Center outdoor,Limited Free,Spectrum,https://www.nycgovparks.org/parks/recreation-center-54/facilities/wifi, Center of Recreation Center 54,40.75648619390, -73.96513384130 
Thomas Paine Park,Entire Park,Free,AT&T,https://www.nycgovparks.org/parks/thomas-paine-park/facilities/wifi, Center of Thomas Paine Park,40.71483345430, -74.00277300480 
Gertrude Ederle Recreation Center,Lobby Multipurpose Room Fitness Room,Limited Free,Spectrum,https://www.nycgovparks.org/parks/west-59th-st-rec-ctr-and-pool/facilities/wifi, Center of Gertrude Ederle Recreation Center,40.77129847780, -73.98872827650 
Gertrude Ederle Recreation Center,Outdoor North Park area,Limited Free,Spectrum,https://www.nycgovparks.org/parks/west-59th-st-rec-ctr-and-pool/facilities/wifi, Center of Gertrude Ederle Recreation Center,40.77129847780, -73.98872827650 
Hamilton Fish Park,Entire Park,Limited Free,Spectrum,https://www.nycgovparks.org/parks/hamilton-fish-park/facilities/wifi, Center of Hamilton Fish Park,40.71981192040, -73.98084412310 
Hamilton Fish Park,Lobby and CRC,Limited Free,Spectrum,https://www.nycgovparks.org/parks/hamilton-fish-park/facilities/wifi, Center of Hamilton Fish Park,40.71981192040, -73.98084412310 
Hansborough Recreation Center,Lobby CRC Gym Fitness and Game Rooms,Limited Free,Spectrum,https://www.nycgovparks.org/parks/hansborough-recreation-center/facilities/wifi, Center of Hansborough Recreation Center,40.81283477670, -73.93933327580 
Hansborough Recreation Center,Outside the Hansborough Recreation Center,Limited Free,Spectrum,https://www.nycgovparks.org/parks/hansborough-recreation-center/facilities/wifi, Center of Hansborough Recreation Center,40.81283477670, -73.93933327580 
Highbridge Park,Wallenberg Playground,Limited Free,Spectrum,https://www.nycgovparks.org/parks/highbridge-park/facilities/wifi, Center of Highbridge Park,40.84439061150, -73.93160645470 
Highbridge Park,Watchtower,Limited Free,Spectrum,https://www.nycgovparks.org/parks/highbridge-park/facilities/wifi, Center of Highbridge Park,40.84439061150, -73.93160645470 
